Date,Games_Played,Num_Sims,Amber,Becca,Damon,Grandpa,Greta,Jason,Mom,Ryan,Tie
19-Dec,0,"100,000",0.0981,0.035,0.201,0.26,0.0386,0.15,0.0328,0.0846,0.0993
20-Dec,1,"100,000",0.0781,0.0419,0.149,0.288,0.0269,0.171,0.0262,0.102,0.118
20-Dec,2,"100,000",0.0772,0.0425,0.146,0.291,0.0258,0.17,0.0262,0.102,0.119
21-Dec,3,"100,000",0.0554,0.0332,0.105,0.338,0.0326,0.208,0.0171,0.0775,0.133
21-Dec,4,"100,000",0.0691,0.0268,0.085,0.409,0.0382,0.157,0.0214,0.0646,0.129
21-Dec,5,"100,000",0.0696,0.0265,0.0846,0.411,0.04,0.154,0.0213,0.0645,0.129
21-Dec,6,"100,000",0.0881,0.0405,0.0568,0.511,0.0476,0.0924,0.0128,0.032,0.118
21-Dec,7,"100,000",0.0983,0.0268,0.0271,0.548,0.0508,0.103,0.00619,0.0186,0.122
21-Dec,8,"100,000",0.0599,0.00992,0.0333,0.563,0.0554,0.112,0.00688,0.0262,0.134
21-Dec,9,"100,000",0.05,0.0107,0.0343,0.579,0.0419,0.112,0.00544,0.0273,0.14
23-Dec,10,"100,000",0.0503,0.00389,0.0357,0.589,0.0312,0.115,0.00503,0.0317,0.138
24-Dec,11,"100,000",0.0384,0.00595,0.0248,0.474,0.0257,0.186,0.00436,0.0524,0.188
26-Dec,12,"100,000",0.0204,0,0.00849,0.655,0.009,0.0767,0.00714,0.0885,0.134
26-Dec,13,"100,000",0.0213,0,0.00882,0.655,0.00368,0.0763,0.00742,0.0924,0.135
27-Dec,14,"100,000",0.0257,0,0.0112,0.741,0.00147,0.0393,0.00876,0.0635,0.11
27-Dec,15,"100,000",0.0215,0,0.0173,0.674,0.0013,0.061,0.012,0.0596,0.154
27-Dec,16,"100,000",0.0274,0,0.0243,0.565,0.00122,0.0904,0.0167,0.0791,0.196
27-Dec,17,"100,000",0.0203,0,0.0118,0.753,0.00024,0.0248,0.00949,0.0449,0.136
27-Dec,18,"100,000",0.0223,0,0.00187,0.784,0,0.0238,0.00973,0.0128,0.146
28-Dec,19,"100,000",0.023,0,0.00195,0.798,0,0.0254,0.00416,0.00281,0.145
28-Dec,20,"100,000",0.0238,0,0.00185,0.796,0,0.0249,0.00411,0.00289,0.147
28-Dec,21,"100,000",0.0239,0,0.00313,0.797,0,0.0253,0.00389,0.00264,0.145
28-Dec,22,"100,000",0.0465,0,0.00593,0.784,0,0.023,0.00412,0.00596,0.13
30-Dec,23,"100,000",0.0742,0,0.0044,0.624,0,0.052,0.00287,0.00447,0.239
30-Dec,24,"100,000",0.118,0,0.0131,0.312,0,0.149,0.00594,0.0021,0.4
30-Dec,25,"70,000",0.0948,0,0.0201,0.495,0,0,0.00794,0.00331,0.379
30-Dec,26,"60,000",0.0944,0,0.0194,0.495,0,0,0.0081,0.00355,0.38
31-Dec,27,"30,000",0.0478,0,0.0246,0.512,0,0,0.003,0,0.412
31-Dec,28,"30,000",0.0166,0,0.025,0.516,0,0,0.0005,0,0.442
31-Dec,29,"30,000",0.00193,0,0.0266,0.526,0,0,0.00103,0,0.445
31-Dec,30,"30,000",0,0,0.0293,0.527,0,0,0,0,0.443
31-Dec,31,"30,000",0,0,0.0862,0.521,0,0,0,0,0.393
1-Jan,32,"30,000",0,0,0.0867,0.521,0,0,0,0,0.392
1-Jan,33,"10,000",0,0,0.0918,0.518,0,0,0,0,0.39
1-Jan,34,"10,000",0,0,0.0855,0.523,0,0,0,0,0.391
1-Jan,35,"10,000",0,0,0.0878,0.525,0,0,0,0,0.387
2-Jan,36,"10,000",0,0,0.0855,0.529,0,0,0,0,0.385
2-Jan,37,"10,000",0,0,0,1,0,0,0,0,0
3-Jan,38,"10,000",0,0,0,1,0,0,0,0,0
4-Jan,39,"10,000",0,0,0,1,0,0,0,0,0
6-Jan,40,"10,000",0,0,0,1,0,0,0,0,0
13-Jan,41,"10,000",0,0,0,1,0,0,0,0,0
