Date,Games_Played,Games Remaining,Num_Sims,Aidan,Amber,Becca,Damon,Grandpa,Greta,Jason,Jaxon,Landen,Michelle,Ryan,Tie
12/15/23,0,43,"10,000",0.0477,0.022,0.0546,0.193,0.153,0.0158,0.186,0.109,0.101,0.0315,0.0683,0.0169
12/16/23,1,42,"10,000",0.0301,0.011,0.0304,0.209,0.166,0.008,0.198,0.114,0.116,0.0193,0.0886,0.0103
12/16/23,2,41,"10,000",0.0127,0.0121,0.037,0.206,0.168,0.0102,0.201,0.122,0.124,0.0118,0.0869,0.0085
12/16/23,3,40,"10,000",0.0074,0.0089,0.0174,0.252,0.204,0.006,0.235,0.0765,0.0777,0.007,0.103,0.0055
12/16/23,4,39,"10,000",0.0118,0.0099,0.0201,0.269,0.222,0.0054,0.142,0.0884,0.0942,0.0082,0.124,0.0055
12/16/23,5,38,"10,000",0.0144,0.007,0.0165,0.223,0.182,0.0041,0.202,0.117,0.124,0.0061,0.0962,0.0084
12/16/23,6,37,"10,000",0.008,0.0092,0.0236,0.266,0.199,0.0023,0.138,0.137,0.141,0.007,0.0629,0.0066
12/16/23,7,36,"10,000",0.0062,0.0096,0.0152,0.199,0.163,0.0009,0.167,0.172,0.171,0.0073,0.0824,0.0067
12/18/23,8,35,"10,000",0.009,0.0061,0.0078,0.232,0.177,0.013,0.206,0.187,0.112,0.0065,0.0497,0.0054
12/19/23,9,34,"10,000",0.0079,0.0042,0.0073,0.249,0.189,0.0008,0.224,0.126,0.13,0.0047,0.0528,0.0045
12/21/23,10,33,"10,000",0.0054,0.0086,0.005,0.216,0.149,0.002,0.38,0.0996,0.0971,0.0034,0.0312,0.0034
12/22/23,11,32,"10,000",0.013,0.0077,0.0046,0.21,0.15,0.0013,0.376,0.109,0.0898,0.0032,0.0318,0.0037
12/23/23,12,31,"10,000",0.0113,0.0064,0.0033,0.287,0.112,0.0018,0.327,0.142,0.078,0.0039,0.0232,0.0039
12/23/23,13,30,"10,000",0.0069,0.0027,0.0054,0.19,0.158,0.0005,0.395,0.0905,0.107,0.0065,0.0317,0.0053
12/23/23,14,29,"10,000",0.0134,0.0026,0.0117,0.187,0.166,0.0009,0.377,0.0884,0.0953,0.0126,0.034,0.0105
12/23/23,15,28,"10,000",0.0186,0.005,0.0025,0.119,0.092,0.0003,0.5,0.146,0.0552,0.0054,0.0478,0.0079
12/23/23,16,27,"10,000",0.0218,0.0046,0.0041,0.121,0.104,0.0001,0.522,0.115,0.043,0.0074,0.0492,0.0086
12/23/23,17,26,"10,000",0.0202,0.0088,0.0035,0.119,0.1,0.0006,0.459,0.103,0.118,0.0127,0.0423,0.0129
12/23/23,18,25,"10,000",0.032,0.0185,0.0065,0.2,0.0801,0.0002,0.403,0.0881,0.0926,0.0288,0.0273,0.0224
12/26/23,19,24,"10,000",0.0349,0.0081,0.0066,0.2,0.0767,0.0009,0.429,0.0877,0.0971,0.0121,0.0316,0.0149
12/26/23,20,23,"10,000",0.0121,0.008,0.0023,0.219,0.0806,0.0004,0.444,0.0919,0.109,0.0126,0.0079,0.0116
12/26/23,21,22,"10,000",0.0111,0.0086,0.002,0.222,0.0859,0,0.439,0.0901,0.11,0.0118,0.0093,0.0104
12/27/23,22,21,"10,000",0.0065,0.0144,0.0011,0.272,0.108,0,0.356,0.112,0.0764,0.0207,0.0141,0.0184
12/27/23,23,20,"10,000",0.0137,0.0132,0.0001,0.234,0.0705,0.0004,0.335,0.227,0.0613,0.0176,0.0142,0.0133
12/27/23,24,19,"10,000",0.0121,0.0164,0.0005,0.173,0.0318,0.0006,0.273,0.343,0.0893,0.0282,0.0128,0.0196
12/27/23,25,18,"10,000",0.0103,0.0153,0.0002,0.15,0.0249,0.0018,0.237,0.336,0.0945,0.0607,0.0318,0.0388
12/28/23,26,17,"10,000",0.0071,0.0058,0.0002,0.0855,0,0.0045,0.118,0.552,0.0284,0.143,0.0214,0.0335
12/28/23,27,16,"10,000",0.0133,0.0021,0.0001,0.0554,0,0.0107,0.188,0.425,0.0151,0.192,0.0413,0.0567
12/28/23,28,15,"10,000",0.0136,0.0004,0.0001,0.0526,0,0.0023,0.185,0.428,0.0148,0.201,0.0445,0.058
12/28/23,29,14,"10,000",0.0046,0.0008,0.0007,0.0349,0,0.0015,0.117,0.316,0.0431,0.38,0.0762,0.0247
12/29/23,30,13,"10,000",0.006,0.0016,0.0006,0.037,0,0,0.0599,0.349,0.0479,0.448,0.0486,0.001
12/29/23,31,12,"10,000",0.0021,0.0015,0,0.0403,0,0,0.0552,0.346,0.0479,0.458,0.0488,0
12/29/23,32,11,"10,000",0.0044,0.0038,0,0.0388,0,0,0.0579,0.348,0.0468,0.45,0.0499,0
12/29/23,33,10,"10,000",0.0181,0.0136,0,0.038,0,0,0.0472,0.323,0.142,0.379,0.0395,0
12/30/23,34,9,"10,000",0.0146,0.0529,0,0.0376,0,0,0.0306,0.324,0.129,0.37,0.0427,0
