Date,Games_Played,Games Remaining,Num_Sims,Aidan,Amber,Becca,Damon,Grandpa,Greta,Jason,Jaxon,Landen,Michelle,Ryan,Wrigley,Tie
12/15/23,0,43,"10,000",0.0445,0.021,0.0527,0.182,0.156,0.0189,0.17,0.101,0.0972,0.0291,0.0768,0.0275,0.0221
12/16/23,1,42,"10,000",0.0286,0.0099,0.0295,0.2,0.164,0.007,0.182,0.109,0.114,0.0164,0.0862,0.0344,0.0184
12/16/23,2,41,"10,000",0.0137,0.0114,0.0301,0.211,0.167,0.0092,0.193,0.12,0.112,0.0082,0.0908,0.0214,0.0119
12/16/23,3,40,"10,000",0.0097,0.0067,0.017,0.247,0.198,0.0057,0.231,0.078,0.0773,0.006,0.103,0.0151,0.0065
12/16/23,4,39,"10,000",0.0099,0.0098,0.0209,0.262,0.219,0.006,0.14,0.0842,0.0921,0.0072,0.124,0.0141,0.0098
12/16/23,5,38,"10,000",0.0138,0.0069,0.0162,0.23,0.182,0.004,0.191,0.121,0.115,0.004,0.0957,0.0104,0.01
12/16/23,6,37,"10,000",0.0079,0.0083,0.0196,0.265,0.199,0.0012,0.14,0.129,0.135,0.0051,0.0645,0.0159,0.0092
12/16/23,7,36,"10,000",0.0086,0.0095,0.0153,0.203,0.154,0.0008,0.164,0.17,0.17,0.0078,0.0816,0.0063,0.0089
12/18/23,8,35,"10,000",0.0084,0.0067,0.0083,0.234,0.176,0.0014,0.194,0.186,0.116,0.0038,0.0534,0.0054,0.0074
12/19/23,9,34,"10,000",0.0091,0.0036,0.0078,0.255,0.195,0.0009,0.208,0.126,0.126,0.0063,0.0538,0.0025,0.0056
12/21/23,10,33,"10,000",0.0066,0.0073,0.0055,0.221,0.158,0.0022,0.352,0.111,0.0936,0.0032,0.0314,0.0046,0.0044
12/22/23,11,32,"10,000",0.0148,0.0071,0.0044,0.212,0.149,0.0015,0.373,0.102,0.0893,0.003,0.0333,0.0038,0.006
12/23/23,12,31,"10,000",0.0111,0.0055,0.0036,0.285,0.113,0.0011,0.316,0.141,0.0791,0.0035,0.0247,0.0088,0.0077
12/23/23,13,30,"10,000",0.0055,0.0025,0.006,0.191,0.164,0.0004,0.38,0.0975,0.0995,0.0063,0.031,0.0081,0.0076
12/23/23,14,29,"10,000",0.0129,0.0024,0.0118,0.19,0.164,0.0005,0.366,0.0822,0.0952,0.0123,0.0299,0.0163,0.0168
12/23/23,15,28,"10,000",0.0203,0.0037,0.0033,0.119,0.0874,0.0001,0.478,0.142,0.0502,0.0062,0.0458,0.0229,0.0201
12/23/23,16,27,"10,000",0.0203,0.0039,0.0027,0.124,0.0968,0.0001,0.499,0.116,0.0405,0.0048,0.0453,0.0241,0.0226
12/23/23,17,26,"10,000",0.0203,0.0097,0.004,0.118,0.0902,0.0005,0.406,0.107,0.0975,0.0118,0.0425,0.0534,0.0388
12/23/23,18,25,"10,000",0.0283,0.0173,0.0063,0.189,0.0767,0.0003,0.371,0.0854,0.0849,0.0201,0.031,0.0497,0.0395
12/26/23,19,24,"10,000",0.0269,0.0081,0.0057,0.196,0.0804,0.0004,0.379,0.087,0.0915,0.0089,0.0275,0.05,0.0385
12/26/23,20,23,"10,000",0.0094,0.0076,0.0012,0.21,0.0791,0,0.399,0.0878,0.0918,0.0104,0.0093,0.0566,0.0375
12/26/23,21,22,"10,000",0.0087,0.0081,0.0018,0.212,0.0825,0,0.416,0.089,0.105,0.0094,0.009,0.0291,0.029
12/27/23,22,21,"10,000",0.0048,0.0124,0.0006,0.267,0.104,0.0002,0.342,0.114,0.0745,0.0154,0.0135,0.0253,0.0257
12/27/23,23,20,"10,000",0.013,0.0129,0.0005,0.233,0.0749,0.0004,0.312,0.22,0.0594,0.0126,0.0146,0.0229,0.0244
12/27/23,24,19,"10,000",0.0111,0.0162,0.0007,0.169,0.031,0.0001,0.244,0.339,0.0879,0.0214,0.0114,0.0328,0.0358
12/27/23,25,18,"10,000",0.0078,0.0117,0,0.154,0.0274,0.0013,0.196,0.319,0.0795,0.0464,0.031,0.0651,0.0614
12/28/23,26,17,"10,000",0.006,0.0054,0,0.0786,0,0.0049,0.11,0.535,0.03,0.119,0.0261,0.0392,0.046
12/28/23,27,16,"10,000",0.0143,0.0025,0.0002,0.0528,0,0.0093,0.16,0.403,0.0149,0.164,0.0421,0.0595,0.0777
12/28/23,28,15,"10,000",0.0122,0.0004,0.0002,0.053,0,0.0019,0.162,0.42,0.0121,0.159,0.04,0.0612,0.077
12/28/23,29,14,"10,000",0.0029,0.0003,0.0006,0.0328,0,0.001,0.0868,0.3,0.0375,0.291,0.0713,0.0975,0.0781
12/29/23,30,13,"10,000",0.0046,0.0002,0.0011,0.042,0,0,0.0346,0.314,0.0392,0.345,0.0438,0.109,0.0666
12/29/23,31,12,"10,000",0.0015,0.0006,0,0.0398,0,0,0.0426,0.348,0.0455,0.386,0.0502,0.0523,0.0334
12/29/23,32,11,"10,000",0.004,0.002,0,0.0383,0,0,0.043,0.343,0.0421,0.398,0.0471,0.0481,0.0346
12/29/23,33,10,"10,000",0.0164,0.0057,0,0.0391,0,0,0,0.302,0.13,0.236,0.0359,0.196,0.0389
12/30/23,34,9,"10,000",0.0159,0.0274,0,0.0388,0,0,0,0.299,0.134,0.219,0.0343,0.195,0.0373
12/30/23,35,8,"10,000",0.0307,0,0,0.0288,0,0,0,0.248,0.0943,0.414,0.0176,0.166,0.0176
12/30/23,36,7,"10,000",0.0458,0,0,0.0407,0,0,0,0.319,0.156,0.3,0.0293,0.109,0
12/30/23,37,6,"10,000",0,0,0,0.0336,0,0,0,0.222,0.22,0.464,0.0598,0,0
1/1/24,38,5,1,0,0,0,0.0311,0,0,0,0.2908,0.2414,0.3823,0.0545,0,0
1/1/24,39,4,1,0,0,0,0.044,0,0,0,0.2336,0.2779,0.39,0.0545,0,0
1/1/24,40,3,1,0,0,0,0.049,0,0,0,0.2598,0.3092,0.3215,0.0606,0,0
1/1/24,41,2,1,0,0,0,0,0,0,0,0,0.3092,0.5813,0.1096,0,0
1/1/24,42,1,1,0,0,0,0,0,0,0,0,0,0.743,0.257,0,0
1/8/24,43,0,1,,,,,,,,,,,,,
